  -1.0000000e-01   3.1885780e+01
  -9.0000000e-02   3.1885727e+01
  -8.0000000e-02   3.1885679e+01
  -7.0000000e-02   3.1885637e+01
  -6.0000000e-02   3.1885600e+01
  -5.0000000e-02   3.1885569e+01
  -4.0000000e-02   3.1885544e+01
  -3.0000000e-02   3.1885524e+01
  -2.0000000e-02   3.1885510e+01
  -1.0000000e-02   3.1885501e+01
   0.0000000e+00   3.1885498e+01
   1.0000000e-02   3.1885501e+01
   2.0000000e-02   3.1885509e+01
   3.0000000e-02   3.1885523e+01
   4.0000000e-02   3.1885543e+01
   5.0000000e-02   3.1885568e+01
   6.0000000e-02   3.1885599e+01
   7.0000000e-02   3.1885635e+01
   8.0000000e-02   3.1885677e+01
   9.0000000e-02   3.1885725e+01
   1.0000000e-01   3.1885778e+01
