   6.8990000e+02  -1.9485904e+03
   6.8991000e+02  -1.9491406e+03
   6.8992250e+02  -1.9494931e+03
   6.8993250e+02  -1.9501519e+03
   6.8994500e+02  -1.9514110e+03
   6.8995500e+02  -1.9520563e+03
   6.8996750e+02  -1.9523368e+03
   6.8997750e+02  -1.9528067e+03
   6.8999000e+02  -1.9537107e+03
   6.9001250e+02  -1.9541454e+03
   6.9002500e+02  -1.9536906e+03
   6.9003500e+02  -1.9532615e+03
   6.9004750e+02  -1.9525735e+03
   6.9005750e+02  -1.9511968e+03
   6.9007000e+02  -1.9485310e+03
   6.9008000e+02  -1.9464274e+03
   6.9009250e+02  -1.9439928e+03
   6.9010250e+02  -1.9416063e+03
   6.9011500e+02  -1.9382345e+03
   6.9012500e+02  -1.9360393e+03
   6.9013750e+02  -1.9340400e+03
   6.9015000e+02  -1.9315891e+03
   6.9016000e+02  -1.9303168e+03
   6.9017250e+02  -1.9295795e+03
   6.9018250e+02  -1.9289713e+03
   6.9019500e+02  -1.9282162e+03
   6.9020500e+02  -1.9283256e+03
   6.9021750e+02  -1.9293811e+03
   6.9022750e+02  -1.9302657e+03
   6.9024000e+02  -1.9311964e+03
   6.9025000e+02  -1.9322020e+03
   6.9026250e+02  -1.9335844e+03
   6.9027500e+02  -1.9336970e+03
   6.9028500e+02  -1.9338472e+03
   6.9029750e+02  -1.9341107e+03
   6.9030750e+02  -1.9336870e+03
   6.9032000e+02  -1.9324103e+03
   6.9033000e+02  -1.9315730e+03
   6.9034250e+02  -1.9308749e+03
   6.9035250e+02  -1.9299721e+03
   6.9036500e+02  -1.9284005e+03
   6.9037500e+02  -1.9274944e+03
   6.9038750e+02  -1.9267961e+03
   6.9040000e+02  -1.9252974e+03
   6.9041000e+02  -1.9246014e+03
   6.9042250e+02  -1.9244268e+03
   6.9043250e+02  -1.9241937e+03
   6.9044500e+02  -1.9237722e+03
   6.9045500e+02  -1.9239867e+03
   6.9046750e+02  -1.9248673e+03
   6.9047750e+02  -1.9253148e+03
   6.9049000e+02  -1.9254572e+03
   6.9050000e+02  -1.9258964e+03
   6.9051250e+02  -1.9267687e+03
   6.9052500e+02  -1.9265661e+03
   6.9053500e+02  -1.9266224e+03
   6.9054750e+02  -1.9270476e+03
   6.9055750e+02  -1.9270400e+03
   6.9057000e+02  -1.9266255e+03
   6.9058000e+02  -1.9266686e+03
   6.9059250e+02  -1.9271511e+03
   6.9060250e+02  -1.9271405e+03
   6.9061500e+02  -1.9266092e+03
   6.9062500e+02  -1.9264565e+03
   6.9063750e+02  -1.9266316e+03
   6.9065000e+02  -1.9259757e+03
   6.9066000e+02  -1.9258884e+03
   6.9067250e+02  -1.9262906e+03
   6.9068250e+02  -1.9262705e+03
   6.9069500e+02  -1.9257783e+03
   6.9070500e+02  -1.9256736e+03
   6.9071750e+02  -1.9258904e+03
   6.9072750e+02  -1.9256666e+03
   6.9074000e+02  -1.9249507e+03
   6.9075000e+02  -1.9247190e+03
   6.9076250e+02  -1.9248959e+03
   6.9077500e+02  -1.9243164e+03
   6.9078500e+02  -1.9243136e+03
   6.9079750e+02  -1.9249081e+03
   6.9080750e+02  -1.9251140e+03
   6.9082000e+02  -1.9249782e+03
   6.9083000e+02  -1.9252449e+03
   6.9084250e+02  -1.9260360e+03
   6.9085250e+02  -1.9263431e+03
   6.9086500e+02  -1.9263900e+03
   6.9087500e+02  -1.9269034e+03
   6.9088750e+02  -1.9280880e+03
   6.9090000e+02  -1.9284296e+03
   6.9091000e+02  -1.9290473e+03
   6.9092250e+02  -1.9301704e+03
   6.9093250e+02  -1.9306376e+03
   6.9094500e+02  -1.9306613e+03
   6.9095500e+02  -1.9309148e+03
   6.9096750e+02  -1.9315289e+03
   6.9097750e+02  -1.9315603e+03
   6.9099000e+02  -1.9310547e+03
   6.9101250e+02  -1.9308711e+03
   6.9102500e+02  -1.9312015e+03
   6.9103500e+02  -1.9310657e+03
   6.9104750e+02  -1.9304130e+03
   6.9105750e+02  -1.9302256e+03
