   3.8044583e+02  -1.4349817e+03
   3.8045833e+02  -1.4347753e+03
   3.8046667e+02  -1.4345942e+03
   3.8047917e+02  -1.4343217e+03
   3.8049167e+02  -1.4341168e+03
   3.8050417e+02  -1.4340318e+03
   3.8051250e+02  -1.4340294e+03
   3.8052500e+02  -1.4340439e+03
   3.8053750e+02  -1.4340282e+03
   3.8054583e+02  -1.4339922e+03
   3.8055833e+02  -1.4338961e+03
   3.8057083e+02  -1.4337430e+03
   3.8058333e+02  -1.4335543e+03
   3.8059167e+02  -1.4334284e+03
   3.8060417e+02  -1.4332633e+03
   3.8061667e+02  -1.4331683e+03
   3.8062917e+02  -1.4331881e+03
   3.8063750e+02  -1.4332638e+03
   3.8065000e+02  -1.4334443e+03
   3.8066250e+02  -1.4336766e+03
   3.8067083e+02  -1.4338499e+03
   3.8068333e+02  -1.4341449e+03
   3.8069583e+02  -1.4345238e+03
   3.8070833e+02  -1.4350198e+03
   3.8071667e+02  -1.4354069e+03
   3.8072917e+02  -1.4360218e+03
   3.8074167e+02  -1.4366056e+03
   3.8075417e+02  -1.4370743e+03
   3.8076250e+02  -1.4372953e+03
   3.8077500e+02  -1.4374848e+03
   3.8078750e+02  -1.4375216e+03
   3.8079583e+02  -1.4374726e+03
   3.8080833e+02  -1.4373172e+03
   3.8082083e+02  -1.4370991e+03
   3.8083333e+02  -1.4368493e+03
   3.8084167e+02  -1.4366740e+03
   3.8085417e+02  -1.4363914e+03
   3.8086667e+02  -1.4360592e+03
   3.8087917e+02  -1.4356787e+03
   3.8088750e+02  -1.4354219e+03
   3.8090000e+02  -1.4350846e+03
   3.8091250e+02  -1.4348529e+03
   3.8092083e+02  -1.4347711e+03
   3.8093333e+02  -1.4347411e+03
   3.8094583e+02  -1.4347719e+03
   3.8095833e+02  -1.4348133e+03
   3.8096667e+02  -1.4348264e+03
   3.8097917e+02  -1.4347981e+03
   3.8099167e+02  -1.4347093e+03
   3.8101250e+02  -1.4344829e+03
   3.8102500e+02  -1.4343121e+03
