0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000069e-02 -1.610666767022909562e+00
2.500000000000000486e-02 -2.621592915864760620e+00
3.750000000000001249e-02 -3.645288095587368105e+00
4.583333333333334397e-02 -3.937444623243305131e+00
5.833333333333335508e-02 -3.879232816856275967e+00
7.083333333333334536e-02 -4.277526953428121281e+00
8.333333333333335646e-02 -4.358077233385222904e+00
9.166666666666668795e-02 -4.768651844255662020e+00
1.041666666666666990e-01 -5.848799880898539527e+00
1.166666666666667102e-01 -6.345345488065867734e+00
1.250000000000000278e-01 -6.664601538896882893e+00
1.375000000000000389e-01 -7.176876056243116864e+00
1.500000000000000500e-01 -6.791895499668327396e+00
1.625000000000000333e-01 -6.397657202711564572e+00
1.708333333333333925e-01 -5.768841374821525037e+00
1.833333333333333759e-01 -4.509567958204202753e+00
1.958333333333333870e-01 -3.924008938233821020e+00
2.083333333333333981e-01 -2.951936533915150207e+00
2.166666666666667296e-01 -2.487106731512788826e+00
2.291666666666667407e-01 -1.980020717499995087e+00
2.416666666666667518e-01 -2.220650366212042925e+00
2.500000000000000555e-01 -2.384317982693841653e+00
2.625000000000000111e-01 -2.212065555202074485e+00
2.749999999999999112e-01 -1.006967959826884806e+00
2.874999999999998113e-01 -3.450103709995239187e-01
2.958333333333331150e-01 1.472312129651585644e-01
3.083333333333330151e-01 8.197090332923061551e-01
3.208333333333329707e-01 3.983082099407727616e-01
3.333333333333328707e-01 2.353816233712787559e-02
3.416666666666661745e-01 -4.115096649303314758e-01
3.541666666666660745e-01 -9.991351633594012238e-01
3.666666666666660301e-01 -7.518986480720377674e-01
3.791666666666659302e-01 -7.328182969457344154e-01
3.874999999999992339e-01 -3.147824681425601123e-01
3.999999999999991340e-01 7.456177111011162983e-01
4.124999999999990896e-01 1.025421825952328225e+00
4.208333333333323378e-01 1.092260641036502999e+00
4.333333333333322934e-01 1.102907174940486623e+00
4.458333333333321935e-01 4.307248409325804550e-01
4.583333333333321491e-01 3.953157713857197719e-01
4.666666666666653973e-01 3.047401647535650793e-01
4.791666666666653529e-01 1.720817561496212067e-01
4.916666666666653085e-01 9.325353904130863070e-01
5.041666666666652086e-01 1.250839650350447529e+00
5.124999999999985123e-01 1.432296594371437637e+00
5.249999999999984679e-01 1.644564753054470696e+00
5.374999999999984235e-01 1.174712329846959724e+00
5.458333333333316162e-01 9.859010348775012478e-01
5.583333333333315718e-01 8.982424819309819952e-01
5.708333333333315274e-01 3.539956070647380937e-01
5.833333333333314830e-01 5.785042593200026007e-01
5.916666666666646757e-01 6.788130526000754061e-01
6.041666666666646313e-01 5.938100236568756296e-01
6.166666666666645868e-01 9.553814445304500413e-01
6.291666666666644314e-01 6.928011915503269336e-01
6.374999999999977351e-01 5.959631304582030387e-01
6.499999999999976907e-01 5.306914233219364174e-01
6.624999999999976463e-01 -1.182191427924084298e-01
6.708333333333309501e-01 -2.925622788730219415e-01
6.833333333333307946e-01 -7.386219015547128286e-02
6.958333333333307502e-01 -2.014271143897799765e-01
7.083333333333307058e-01 1.737674537645423622e-01
7.166666666666640095e-01 1.852633295643813516e-01
7.291666666666638541e-01 -2.032479916782959362e-01
7.416666666666638097e-01 -2.416182681404154542e-01
7.541666666666637653e-01 -8.796731074626199520e-01
7.624999999999969580e-01 -1.048936499915928966e+00
7.749999999999969136e-01 -8.190169656064028025e-01
7.874999999999968692e-01 -9.549711975797147145e-01
7.958333333333301729e-01 -8.334515986168150592e-01
8.083333333333300175e-01 -3.361444902629718845e-01
8.208333333333299731e-01 -4.022573180901354295e-01
